,Interior Lighting,General,9.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,Exterior-Lights,4.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Garage-Lights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,dishwasher,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,refrigerator,5.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,clotheswasher,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,electric_dryer,7.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,electric_range,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,television,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,electric_mels,26.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,IECC_adj,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,General,12.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Ventilation,2.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Ventilation (simple),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Domestic Hot Water,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20
,,Water Heater,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Water Heater Parasitic,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Source Energy End Use Components Summary
FOR:,Entire Facility
Values gathered over        24.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Source Energy End Use Components Summary

,,Source Electricity [kBtu],Source Natural Gas [kBtu],Source Gasoline [kBtu],Source Diesel [kBtu],Source Coal [kBtu],Source Fuel Oil No 1 [kBtu],Source Fuel Oil No 2 [kBtu],Source Propane [kBtu],Source Other Fuel 1 [kBtu],Source Other Fuel 2 [kBtu],Source District Cooling [kBtu],Source District Heating [kBtu]
,Heating,8949.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,335.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,163.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,2666.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,1021.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,734.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
,Total Source Energy End Use Components,13872.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Normalized Metrics
Source Energy End Use Components Per Conditioned Floor Area

,,Source Electricity [kBtu/ft2],Source Natural Gas [kBtu/ft2],Source Gasoline [kBtu/ft2],Source Diesel [kBtu/ft2],Source Coal [kBtu/ft2],Source Fuel Oil No 1 [kBtu/ft2],Source Fuel Oil No 2 [kBtu/ft2],Source Propane [kBtu/ft2],Source Other Fuel 1 [kBtu/ft2],Source Other Fuel 2 [kBtu/ft2],Source District Cooling [kBtu/ft2],Source District Heating [kBtu/ft2]
,Heating,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
,Total Source Energy End Use Components,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Source Energy End Use Components Per Total Floor Area

,,Source Electricity [kBtu/ft2],Source Natural Gas [kBtu/ft2],Source Gasoline [kBtu/ft2],Source Diesel [kBtu/ft2],Source Coal [kBtu/ft2],Source Fuel Oil No 1 [kBtu/ft2],Source Fuel Oil No 2 [kBtu/ft2],Source Propane [kBtu/ft2],Source Other Fuel 1 [kBtu/ft2],Source Other Fuel 2 [kBtu/ft2],Source District Cooling [kBtu/ft2],Source District Heating [kBtu/ft2]
,Heating,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
,Total Source Energy End Use Components,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Component Sizing Summary
FOR:,Entire Facility
ZoneHVAC:EnergyRecoveryVentilator

,,User-Specified Supply Air Flow Rate [ft3/min],User-Specified Exhaust Air Flow Rate [ft3/min]
,ERV_UNITHEATEDBSMT,44.99,44.99
,ERV_UNIT1_FRONTROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT2_FRONTROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT3_FRONTROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT1_BACKROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT2_BACKROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT3_BACKROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT1_FRONTROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT2_FRONTROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT3_FRONTROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT1_BACKROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT2_BACKROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT3_BACKROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT3_BACKROW_TOPFLOOR,44.99,44.99
,ERV_UNIT3_FRONTROW_TOPFLOOR,44.99,44.99
,ERV_UNIT1_FRONTROW_TOPFLOOR,44.99,44.99
,ERV_UNIT2_BACKROW_TOPFLOOR,44.99,44.99
,ERV_UNIT2_FRONTROW_TOPFLOOR,44.99,44.99
,ERV_UNIT1_BACKROW_TOPFLOOR,44.99,44.99
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Fan:OnOff

,,User-Specified Maximum Flow Rate [ft3/min],Design Size Maximum Flow Rate [ft3/min]
,OASUPPLYFAN_UNITHEATEDBSMT,44.99,
,OAEXHAUSTFAN_UNITHEATEDBSMT,44.99,
,OASUPPLYFAN_UNIT1_FRONTROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_FRONTROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT2_FRONTROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_FRONTROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT3_FRONTROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_FRONTROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT1_BACKROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_BACKROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT2_BACKROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_BACKROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT3_BACKROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_BACKROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT1_FRONTROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_FRONTROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT2_FRONTROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_FRONTROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT3_FRONTROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_FRONTROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT1_BACKROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_BACKROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT2_BACKROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_BACKROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT3_BACKROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_BACKROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT3_BACKROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_BACKROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT3_FRONTROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_FRONTROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT1_FRONTROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_FRONTROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT2_BACKROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_BACKROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT2_FRONTROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_FRONTROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT1_BACKROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_BACKROW_TOPFLOOR,44.99,
,SUPPLY FAN_UNIT1_FRONTROW_BOTTOMFLOOR,,459.71
,SUPPLY FAN_UNIT2_FRONTROW_BOTTOMFLOOR,,250.32
,SUPPLY FAN_UNIT3_FRONTROW_BOTTOMFLOOR,,347.47
,SUPPLY FAN_UNIT1_BACKROW_BOTTOMFLOOR,,431.17
,SUPPLY FAN_UNIT2_BACKROW_BOTTOMFLOOR,,245.02
,SUPPLY FAN_UNIT3_BACKROW_BOTTOMFLOOR,,320.22
,SUPPLY FAN_UNIT1_FRONTROW_MIDDLEFLOOR,,464.89
,SUPPLY FAN_UNIT2_FRONTROW_MIDDLEFLOOR,,279.52
,SUPPLY FAN_UNIT3_FRONTROW_MIDDLEFLOOR,,376.73
,SUPPLY FAN_UNIT1_BACKROW_MIDDLEFLOOR,,426.72
,SUPPLY FAN_UNIT2_BACKROW_MIDDLEFLOOR,,273.02
,SUPPLY FAN_UNIT3_BACKROW_MIDDLEFLOOR,,351.59
,SUPPLY FAN_UNIT1_FRONTROW_TOPFLOOR,,476.71
,SUPPLY FAN_UNIT2_FRONTROW_TOPFLOOR,,300.75
,SUPPLY FAN_UNIT3_FRONTROW_TOPFLOOR,,378.90
,SUPPLY FAN_UNIT1_BACKROW_TOPFLOOR,,453.23
,SUPPLY FAN_UNIT2_BACKROW_TOPFLOOR,,299.19
,SUPPLY FAN_UNIT3_BACKROW_TOPFLOOR,,354.53
,SUPPLY FAN_UNITHEATEDBSMT,,2358.00
,HEAT PUMP WATER HEATER FAN_UNIT1_FRONTROW_BOTTOMFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT2_FRONTROW_BOTTOMFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT3_FRONTROW_BOTTOMFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT1_BACKROW_BOTTOMFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT2_BACKROW_BOTTOMFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT3_BACKROW_BOTTOMFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT1_FRONTROW_MIDDLEFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT2_FRONTROW_MIDDLEFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT3_FRONTROW_MIDDLEFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT1_BACKROW_MIDDLEFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT2_BACKROW_MIDDLEFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT3_BACKROW_MIDDLEFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT1_FRONTROW_TOPFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT2_FRONTROW_TOPFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT3_FRONTROW_TOPFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT1_BACKROW_TOPFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT2_BACKROW_TOPFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT3_BACKROW_TOPFLOOR,,160.01
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


HeatExchanger:AirToAir:SensibleAndLatent

,,User-Specified Nominal Supply Air Flow Rate [ft3/min]
,OA_HEAT_RECOVERY_UNITHEATEDBSMT,44.99
,OA_HEAT_RECOVERY_UNIT1_FRONTROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_FRONTROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_FRONTROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_BACKROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_BACKROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_BACKROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_FRONTROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_FRONTROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_FRONTROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_BACKROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_BACKROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_BACKROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_BACKROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_FRONTROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_FRONTROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_BACKROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_FRONTROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_BACKROW_TOPFLOOR,44.99
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirTerminal:SingleDuct:ConstantVolume:NoReheat

,,Design Size Maximum Air Flow Rate [ft3/min]
,ZONEDIRECTAIR_UNITHEATEDBSMT,2358.00
,ZONEDIRECTAIR_UNIT1_FRONTROW_BOTTOMFLOOR,459.71
,ZONEDIRECTAIR_UNIT2_FRONTROW_BOTTOMFLOOR,250.32
,ZONEDIRECTAIR_UNIT3_FRONTROW_BOTTOMFLOOR,347.47
,ZONEDIRECTAIR_UNIT1_BACKROW_BOTTOMFLOOR,431.17
,ZONEDIRECTAIR_UNIT2_BACKROW_BOTTOMFLOOR,245.02
,ZONEDIRECTAIR_UNIT3_BACKROW_BOTTOMFLOOR,320.22
,ZONEDIRECTAIR_UNIT1_FRONTROW_MIDDLEFLOOR,464.89
,ZONEDIRECTAIR_UNIT2_FRONTROW_MIDDLEFLOOR,279.52
,ZONEDIRECTAIR_UNIT3_FRONTROW_MIDDLEFLOOR,376.73
,ZONEDIRECTAIR_UNIT1_BACKROW_MIDDLEFLOOR,426.72
,ZONEDIRECTAIR_UNIT2_BACKROW_MIDDLEFLOOR,273.02
,ZONEDIRECTAIR_UNIT3_BACKROW_MIDDLEFLOOR,351.59
,ZONEDIRECTAIR_UNIT3_BACKROW_TOPFLOOR,354.53
,ZONEDIRECTAIR_UNIT3_FRONTROW_TOPFLOOR,378.90
,ZONEDIRECTAIR_UNIT1_FRONTROW_TOPFLOOR,476.71
,ZONEDIRECTAIR_UNIT2_BACKROW_TOPFLOOR,299.19
,ZONEDIRECTAIR_UNIT2_FRONTROW_TOPFLOOR,300.75
,ZONEDIRECTAIR_UNIT1_BACKROW_TOPFLOOR,453.23
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirLoopHVAC

,,Sum of Air Terminal Maximum Heating Flow Rates [ft3/min],Sum of Air Terminal Minimum Heating Flow Rates [ft3/min],Sum of Air Terminal Maximum Flow Rates [ft3/min],Adjusted Heating Design Air Flow Rate [ft3/min],Adjusted Cooling Design Air Flow Rate [ft3/min],Adjusted Main Design Air Flow Rate [ft3/min],User Heating Air Flow Ratio [],Calculated Heating Air Flow Ratio [],Design Supply Air Flow Rate [ft3/min]
,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,459.71,459.71,459.71,459.71,459.71,459.71,1.00,1.00,459.71
,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,250.32,250.32,250.32,250.32,250.32,250.32,1.00,1.00,250.32
,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,347.47,347.47,347.47,347.47,347.47,347.47,1.00,1.00,347.47
,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,431.17,431.17,431.17,431.17,431.17,431.17,1.00,1.00,431.17
,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,245.02,245.02,245.02,245.02,245.02,245.02,1.00,1.00,245.02
,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,320.22,320.22,320.22,320.22,320.22,320.22,1.00,1.00,320.22
,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,464.89,464.89,464.89,464.89,464.89,464.89,1.00,1.00,464.89
,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,279.52,279.52,279.52,279.52,279.52,279.52,1.00,1.00,279.52
,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,376.73,376.73,376.73,376.73,376.73,376.73,1.00,1.00,376.73
,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,426.72,426.72,426.72,426.72,426.72,426.72,1.00,1.00,426.72
,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,273.02,273.02,273.02,273.02,273.02,273.02,1.00,1.00,273.02
,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,351.59,351.59,351.59,351.59,351.59,351.59,1.00,1.00,351.59
,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,476.71,476.71,476.71,476.71,476.71,476.71,1.00,1.00,476.71
,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,300.75,300.75,300.75,300.75,300.75,300.75,1.00,1.00,300.75
,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,378.90,378.90,378.90,378.90,378.90,378.90,1.00,1.00,378.90
,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,453.23,453.23,453.23,453.23,453.23,453.23,1.00,1.00,453.23
,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,299.19,299.19,299.19,299.19,299.19,299.19,1.00,1.00,299.19
,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,354.53,354.53,354.53,354.53,354.53,354.53,1.00,1.00,354.53
,CENTRAL SYSTEM_UNITHEATEDBSMT,2358.00,2358.00,2358.00,2358.00,2358.00,2358.00,1.00,1.00,2358.00
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Cooling:DX:SingleSpeed

,,Design Size Rated Air Flow Rate [ft3/min],Design Size Gross Rated Total Cooling Capacity [ton],Design Size Gross Rated Sensible Heat Ratio
,DX COOLING COIL_UNIT1_FRONTROW_BOTTOMFLOOR,459.71,1.02,0.800655
,DX COOLING COIL_UNIT2_FRONTROW_BOTTOMFLOOR,250.32,0.602630,0.800266
,DX COOLING COIL_UNIT3_FRONTROW_BOTTOMFLOOR,347.47,0.771936,0.800655
,DX COOLING COIL_UNIT1_BACKROW_BOTTOMFLOOR,431.17,0.957875,0.800655
,DX COOLING COIL_UNIT2_BACKROW_BOTTOMFLOOR,245.02,0.595272,0.800195
,DX COOLING COIL_UNIT3_BACKROW_BOTTOMFLOOR,320.22,0.711392,0.800655
,DX COOLING COIL_UNIT1_FRONTROW_MIDDLEFLOOR,464.89,1.03,0.800655
,DX COOLING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,279.52,0.645501,0.800689
,DX COOLING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,376.73,0.836936,0.800655
,DX COOLING COIL_UNIT1_BACKROW_MIDDLEFLOOR,426.72,0.947987,0.800655
,DX COOLING COIL_UNIT2_BACKROW_MIDDLEFLOOR,273.02,0.637092,0.800023
,DX COOLING COIL_UNIT3_BACKROW_MIDDLEFLOOR,351.59,0.781088,0.800655
,DX COOLING COIL_UNIT1_FRONTROW_TOPFLOOR,476.71,1.06,0.800655
,DX COOLING COIL_UNIT2_FRONTROW_TOPFLOOR,300.75,0.702228,0.800810
,DX COOLING COIL_UNIT3_FRONTROW_TOPFLOOR,378.90,0.841759,0.800655
,DX COOLING COIL_UNIT1_BACKROW_TOPFLOOR,453.23,1.01,0.800655
,DX COOLING COIL_UNIT2_BACKROW_TOPFLOOR,299.19,0.701031,0.800593
,DX COOLING COIL_UNIT3_BACKROW_TOPFLOOR,354.53,0.787626,0.800655
,DX COOLING COIL_UNITHEATEDBSMT,2358.00,5.24,0.800655
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirLoopHVAC:UnitaryHeatPump:AirToAir

,,Supply Air Flow Rate [ft3/min],Supply Air Flow Rate During Heating Operation [ft3/min],Supply Air Flow Rate During Cooling Operation [ft3/min],Nominal Heating Capacity [Btu/h],Nominal Cooling Capacity [ton],Supplemental Heating Coil Nominal Capacity [Btu/h],Fraction of Supply Air Flow That Goes Through the Controlling Zone
,HEAT PUMP_UNIT1_FRONTROW_BOTTOMFLOOR,459.71,459.71,459.71,12255.44,1.02,16334.01,1.00
,HEAT PUMP_UNIT2_FRONTROW_BOTTOMFLOOR,250.32,250.32,250.32,7231.56,0.602630,13443.84,1.00
,HEAT PUMP_UNIT3_FRONTROW_BOTTOMFLOOR,347.47,347.47,347.47,9263.23,0.771936,16340.91,1.00
,HEAT PUMP_UNIT1_BACKROW_BOTTOMFLOOR,431.17,431.17,431.17,11494.50,0.957875,16336.92,1.00
,HEAT PUMP_UNIT2_BACKROW_BOTTOMFLOOR,245.02,245.02,245.02,7143.27,0.595272,13444.31,1.00
