Program Version:,EnergyPlus, Version 9.6.0-f420c06a69, YMD=2024.05.14 12:32
Tabular Output Report in Format: ,Comma

Building:,US+MF+CZ7+gasfurnace+crawlspace+IECC_2021
Environment:,ANNUAL ** Quebec.City-Ste.Foy-Univ.Laval QC CAN Custom-713920 WMO#=713920

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over        24.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kBtu],Energy Per Total Building Area [kBtu/ft2],Energy Per Conditioned Building Area [kBtu/ft2]
,Total Site Energy,4265.35,0.11,0.20
,Net Site Energy,4265.35,0.11,0.20
,Total Source Energy,6743.41,0.17,0.31
,Net Source Energy,6743.41,0.17,0.31


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [ft2]
,Total Building Area,39005.22
,Net Conditioned Building Area,21609.96
,Unconditioned Building Area,17395.26


End Uses

,,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
,Heating,0.00,2149.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,106.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,51.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,721.84,481.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,138.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,616.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,933.99
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,1017.65,3247.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,933.99
Note: Natural gas appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
,IECC_adj:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_BOTTOMFLOOR,2.64,84.31,12-JAN-10:00,163.06,12-JAN-21:00
,InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_BOTTOMFLOOR,11.74,362.74,12-JAN-05:00,704.87,12-JAN-21:00
,dishwasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_BOTTOMFLOOR,0.44,1.50,12-JAN-04:00,48.90,12-JAN-20:00
,refrigerator:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1.83,66.60,12-JAN-05:00,91.06,12-JAN-19:00
,clotheswasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_BOTTOMFLOOR,0.25,0.92,12-JAN-03:00,21.19,12-JAN-10:00
,gas_dryer:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_BOTTOMFLOOR,0.20,0.39,12-JAN-04:00,16.18,12-JAN-12:00
,gas_range:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,television:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,gas_mels:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_BOTTOMFLOOR,6.38,203.55,12-JAN-10:00,393.69,12-JAN-21:00
,IECC_adj:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_BOTTOMFLOOR,2.64,84.31,12-JAN-10:00,163.06,12-JAN-21:00
,InteriorEquipment:Electricity:Zone:LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,11.74,362.74,12-JAN-05:00,704.87,12-JAN-21:00
,dishwasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,0.44,1.50,12-JAN-04:00,48.90,12-JAN-20:00
,refrigerator:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1.83,66.60,12-JAN-05:00,91.06,12-JAN-19:00
,clotheswasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,0.25,0.92,12-JAN-03:00,21.19,12-JAN-10:00
,gas_dryer:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,0.20,0.39,12-JAN-04:00,16.18,12-JAN-12:00
,gas_range:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,television:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,gas_mels:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,6.38,203.55,12-JAN-10:00,393.69,12-JAN-21:00
,IECC_adj:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,2.64,84.31,12-JAN-10:00,163.06,12-JAN-21:00
,InteriorEquipment:Electricity:Zone:LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,11.74,362.74,12-JAN-05:00,704.87,12-JAN-21:00
,dishwasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,0.44,1.50,12-JAN-04:00,48.90,12-JAN-20:00
,refrigerator:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1.83,66.60,12-JAN-05:00,91.06,12-JAN-19:00
,clotheswasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,0.25,0.92,12-JAN-03:00,21.19,12-JAN-10:00
,gas_dryer:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,0.20,0.39,12-JAN-04:00,16.18,12-JAN-12:00
,gas_range:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,television:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,gas_mels:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,6.38,203.55,12-JAN-10:00,393.69,12-JAN-21:00
,IECC_adj:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,2.64,84.31,12-JAN-10:00,163.06,12-JAN-21:00
,InteriorEquipment:Electricity:Zone:LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,11.74,362.74,12-JAN-05:00,704.87,12-JAN-21:00
,dishwasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,0.44,1.50,12-JAN-04:00,48.90,12-JAN-20:00
,refrigerator:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1.83,66.60,12-JAN-05:00,91.06,12-JAN-19:00
,clotheswasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,0.25,0.92,12-JAN-03:00,21.19,12-JAN-10:00
,gas_dryer:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,0.20,0.39,12-JAN-04:00,16.18,12-JAN-12:00
,gas_range:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,television:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,gas_mels:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,6.38,203.55,12-JAN-10:00,393.69,12-JAN-21:00
,IECC_adj:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,2.64,84.31,12-JAN-10:00,163.06,12-JAN-21:00
,InteriorEquipment:Electricity:Zone:LIVING_UNIT1_BACKROW_MIDDLEFLOOR,11.74,362.74,12-JAN-05:00,704.87,12-JAN-21:00
,dishwasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_BACKROW_MIDDLEFLOOR,0.44,1.50,12-JAN-04:00,48.90,12-JAN-20:00
,refrigerator:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1.83,66.60,12-JAN-05:00,91.06,12-JAN-19:00
,clotheswasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_BACKROW_MIDDLEFLOOR,0.25,0.92,12-JAN-03:00,21.19,12-JAN-10:00
,gas_dryer:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_BACKROW_MIDDLEFLOOR,0.20,0.39,12-JAN-04:00,16.18,12-JAN-12:00
,gas_range:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_BACKROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,television:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_BACKROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,gas_mels:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_BACKROW_MIDDLEFLOOR,6.38,203.55,12-JAN-10:00,393.69,12-JAN-21:00
,IECC_adj:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_BACKROW_MIDDLEFLOOR,2.64,84.31,12-JAN-10:00,163.06,12-JAN-21:00
,InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_MIDDLEFLOOR,11.74,362.74,12-JAN-05:00,704.87,12-JAN-21:00
,dishwasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_MIDDLEFLOOR,0.44,1.50,12-JAN-04:00,48.90,12-JAN-20:00
,refrigerator:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1.83,66.60,12-JAN-05:00,91.06,12-JAN-19:00
,clotheswasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_MIDDLEFLOOR,0.25,0.92,12-JAN-03:00,21.19,12-JAN-10:00
,gas_dryer:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_MIDDLEFLOOR,0.20,0.39,12-JAN-04:00,16.18,12-JAN-12:00
,gas_range:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,television:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,gas_mels:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_MIDDLEFLOOR,6.38,203.55,12-JAN-10:00,393.69,12-JAN-21:00
,IECC_adj:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_MIDDLEFLOOR,2.64,84.31,12-JAN-10:00,163.06,12-JAN-21:00
,InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_MIDDLEFLOOR,11.74,362.74,12-JAN-05:00,704.87,12-JAN-21:00
,dishwasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_MIDDLEFLOOR,0.44,1.50,12-JAN-04:00,48.90,12-JAN-20:00
,refrigerator:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1.83,66.60,12-JAN-05:00,91.06,12-JAN-19:00
,clotheswasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_MIDDLEFLOOR,0.25,0.92,12-JAN-03:00,21.19,12-JAN-10:00
,gas_dryer:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_MIDDLEFLOOR,0.20,0.39,12-JAN-04:00,16.18,12-JAN-12:00
,gas_range:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,television:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,gas_mels:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_MIDDLEFLOOR,6.38,203.55,12-JAN-10:00,393.69,12-JAN-21:00
,IECC_adj:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_MIDDLEFLOOR,2.64,84.31,12-JAN-10:00,163.06,12-JAN-21:00
,InteriorEquipment:Electricity:Zone:LIVING_UNIT1_FRONTROW_TOPFLOOR,11.74,362.74,12-JAN-05:00,704.87,12-JAN-21:00
,dishwasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_FRONTROW_TOPFLOOR,0.44,1.50,12-JAN-04:00,48.90,12-JAN-20:00
,refrigerator:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_FRONTROW_TOPFLOOR,1.83,66.60,12-JAN-05:00,91.06,12-JAN-19:00
,clotheswasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_FRONTROW_TOPFLOOR,0.25,0.92,12-JAN-03:00,21.19,12-JAN-10:00
,gas_dryer:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_FRONTROW_TOPFLOOR,0.20,0.39,12-JAN-04:00,16.18,12-JAN-12:00
,gas_range:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_FRONTROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,television:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_FRONTROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,gas_mels:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_FRONTROW_TOPFLOOR,6.38,203.55,12-JAN-10:00,393.69,12-JAN-21:00
,IECC_adj:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_FRONTROW_TOPFLOOR,2.64,84.31,12-JAN-10:00,163.06,12-JAN-21:00
,InteriorEquipment:Electricity:Zone:LIVING_UNIT2_FRONTROW_TOPFLOOR,11.74,362.74,12-JAN-05:00,704.87,12-JAN-21:00
,dishwasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_FRONTROW_TOPFLOOR,0.44,1.50,12-JAN-04:00,48.90,12-JAN-20:00
,refrigerator:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_FRONTROW_TOPFLOOR,1.83,66.60,12-JAN-05:00,91.06,12-JAN-19:00
,clotheswasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_FRONTROW_TOPFLOOR,0.25,0.92,12-JAN-03:00,21.19,12-JAN-10:00
,gas_dryer:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_FRONTROW_TOPFLOOR,0.20,0.39,12-JAN-04:00,16.18,12-JAN-12:00
,gas_range:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_FRONTROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,television:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_FRONTROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,gas_mels:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_FRONTROW_TOPFLOOR,6.38,203.55,12-JAN-10:00,393.69,12-JAN-21:00
,IECC_adj:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_FRONTROW_TOPFLOOR,2.64,84.31,12-JAN-10:00,163.06,12-JAN-21:00
,InteriorEquipment:Electricity:Zone:LIVING_UNIT3_FRONTROW_TOPFLOOR,11.74,362.74,12-JAN-05:00,704.87,12-JAN-21:00
,dishwasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_FRONTROW_TOPFLOOR,0.44,1.50,12-JAN-04:00,48.90,12-JAN-20:00
,refrigerator:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_FRONTROW_TOPFLOOR,1.83,66.60,12-JAN-05:00,91.06,12-JAN-19:00
,clotheswasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_FRONTROW_TOPFLOOR,0.25,0.92,12-JAN-03:00,21.19,12-JAN-10:00
,gas_dryer:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_FRONTROW_TOPFLOOR,0.20,0.39,12-JAN-04:00,16.18,12-JAN-12:00
,gas_range:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_FRONTROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,television:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_FRONTROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,gas_mels:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_FRONTROW_TOPFLOOR,6.38,203.55,12-JAN-10:00,393.69,12-JAN-21:00
,IECC_adj:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_FRONTROW_TOPFLOOR,2.64,84.31,12-JAN-10:00,163.06,12-JAN-21:00
,InteriorEquipment:Electricity:Zone:LIVING_UNIT1_BACKROW_TOPFLOOR,11.74,362.74,12-JAN-05:00,704.87,12-JAN-21:00
,dishwasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_BACKROW_TOPFLOOR,0.44,1.50,12-JAN-04:00,48.90,12-JAN-20:00
,refrigerator:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_BACKROW_TOPFLOOR,1.83,66.60,12-JAN-05:00,91.06,12-JAN-19:00
,clotheswasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_BACKROW_TOPFLOOR,0.25,0.92,12-JAN-03:00,21.19,12-JAN-10:00
,gas_dryer:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_BACKROW_TOPFLOOR,0.20,0.39,12-JAN-04:00,16.18,12-JAN-12:00
,gas_range:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_BACKROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,television:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_BACKROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,gas_mels:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_BACKROW_TOPFLOOR,6.38,203.55,12-JAN-10:00,393.69,12-JAN-21:00
,IECC_adj:InteriorEquipment:Electricity:Zone:LIVING_UNIT1_BACKROW_TOPFLOOR,2.64,84.31,12-JAN-10:00,163.06,12-JAN-21:00
,InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_TOPFLOOR,11.74,362.74,12-JAN-05:00,704.87,12-JAN-21:00
,dishwasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_TOPFLOOR,0.44,1.50,12-JAN-04:00,48.90,12-JAN-20:00
,refrigerator:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_TOPFLOOR,1.83,66.60,12-JAN-05:00,91.06,12-JAN-19:00
,clotheswasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_TOPFLOOR,0.25,0.92,12-JAN-03:00,21.19,12-JAN-10:00
,gas_dryer:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_TOPFLOOR,0.20,0.39,12-JAN-04:00,16.18,12-JAN-12:00
,gas_range:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,television:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,gas_mels:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_TOPFLOOR,6.38,203.55,12-JAN-10:00,393.69,12-JAN-21:00
,IECC_adj:InteriorEquipment:Electricity:Zone:LIVING_UNIT2_BACKROW_TOPFLOOR,2.64,84.31,12-JAN-10:00,163.06,12-JAN-21:00
,InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_TOPFLOOR,11.74,362.74,12-JAN-05:00,704.87,12-JAN-21:00
,dishwasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_TOPFLOOR,0.44,1.50,12-JAN-04:00,48.90,12-JAN-20:00
,refrigerator:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_TOPFLOOR,1.83,66.60,12-JAN-05:00,91.06,12-JAN-19:00
,clotheswasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_TOPFLOOR,0.25,0.92,12-JAN-03:00,21.19,12-JAN-10:00
,gas_dryer:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_TOPFLOOR,0.20,0.39,12-JAN-04:00,16.18,12-JAN-12:00
,gas_range:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,television:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,gas_mels:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_TOPFLOOR,6.38,203.55,12-JAN-10:00,393.69,12-JAN-21:00
,IECC_adj:InteriorEquipment:Electricity:Zone:LIVING_UNIT3_BACKROW_TOPFLOOR,2.64,84.31,12-JAN-10:00,163.06,12-JAN-21:00
,Fans:Electricity,40.48,1463.74,12-JAN-19:00,1842.21,12-JAN-05:00
,Fans:Electricity:Zone:LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Ventilation (simple):Fans:Electricity,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Ventilation (simple):Fans:Electricity:Zone:LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Fans:Electricity:Zone:LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Ventilation (simple):Fans:Electricity:Zone:LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Fans:Electricity:Zone:LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Ventilation (simple):Fans:Electricity:Zone:LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Fans:Electricity:Zone:LIVING_UNIT1_BACKROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Ventilation (simple):Fans:Electricity:Zone:LIVING_UNIT1_BACKROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Fans:Electricity:Zone:LIVING_UNIT2_BACKROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Ventilation (simple):Fans:Electricity:Zone:LIVING_UNIT2_BACKROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Fans:Electricity:Zone:LIVING_UNIT3_BACKROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Ventilation (simple):Fans:Electricity:Zone:LIVING_UNIT3_BACKROW_BOTTOMFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Fans:Electricity:Zone:LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Ventilation (simple):Fans:Electricity:Zone:LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Fans:Electricity:Zone:LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Ventilation (simple):Fans:Electricity:Zone:LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Fans:Electricity:Zone:LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Ventilation (simple):Fans:Electricity:Zone:LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Fans:Electricity:Zone:LIVING_UNIT1_BACKROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Ventilation (simple):Fans:Electricity:Zone:LIVING_UNIT1_BACKROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Fans:Electricity:Zone:LIVING_UNIT2_BACKROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Ventilation (simple):Fans:Electricity:Zone:LIVING_UNIT2_BACKROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Fans:Electricity:Zone:LIVING_UNIT3_BACKROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Ventilation (simple):Fans:Electricity:Zone:LIVING_UNIT3_BACKROW_MIDDLEFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
,Fans:Electricity:Zone:LIVING_UNIT1_FRONTROW_TOPFLOOR,0.00,0.00,12-JAN-01:00,0.00,12-JAN-01:00
