,23,GAS_RANGE2_FRONTROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,24,GAS_MELS2_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,25,GAS_DRYER3_FRONTROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,26,GAS_RANGE3_FRONTROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,27,GAS_MELS3_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,28,GAS_DRYER1_BACKROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,29,GAS_RANGE1_BACKROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,30,GAS_MELS1_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,31,GAS_DRYER2_BACKROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,32,GAS_RANGE2_BACKROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,33,GAS_MELS2_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,34,GAS_DRYER3_BACKROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,35,GAS_RANGE3_BACKROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,36,GAS_MELS3_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,37,GAS_DRYER1_FRONTROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,38,GAS_RANGE1_FRONTROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,39,GAS_MELS1_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,40,GAS_DRYER2_FRONTROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,41,GAS_RANGE2_FRONTROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,42,GAS_MELS2_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,43,GAS_DRYER3_FRONTROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,44,GAS_RANGE3_FRONTROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,45,GAS_MELS3_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,46,GAS_DRYER1_BACKROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,47,GAS_RANGE1_BACKROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,48,GAS_MELS1_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,49,GAS_DRYER2_BACKROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,50,GAS_RANGE2_BACKROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,51,GAS_MELS2_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,52,GAS_DRYER3_BACKROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,53,GAS_RANGE3_BACKROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,54,GAS_MELS3_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937


Construction CTF

,,Construction Name,Index,#Layers,#CTFs,Time Step {Hours},ThermalConductance {Btu/h-ft2-F},OuterThermalAbsorptance,InnerThermalAbsorptance,OuterSolarAbsorptance,InnerSolarAbsorptance,Roughness
,1,EXTERIOR WALL,1,5,7,1.000,0.0498,0.900,0.900,0.700,0.700,MediumSmooth
,2,CEILING-FLOOR-LAYER,3,1,5,1.000,0.228,0.900,0.900,0.700,0.700,Rough
,3,EXTERIOR FLOOR,4,3,7,1.000,0.0279,0.900,0.900,0.700,0.700,Rough
,4,INTERIOR CEILING,6,2,7,1.000,0.0190,0.900,0.900,0.700,0.700,Rough
,5,ATTIC FLOOR,7,2,7,1.000,0.0190,0.900,0.900,0.700,0.700,MediumSmooth
,6,INTERIORWALL,9,3,3,1.000,0.597,0.900,0.900,0.700,0.700,MediumSmooth
,7,EXTERIOR ROOF,11,2,2,1.000,0.943,0.900,0.900,0.750,0.700,MediumRough
,8,EXTERIOR DOOR,14,1,3,1.000,0.300,0.900,0.900,0.700,0.700,Smooth
,9,GABLE_END,16,5,4,1.000,0.428,0.900,0.900,0.700,0.700,MediumSmooth
,10,BASEMENT WALL,24,3,3,1.000,0.534,0.900,0.900,0.700,0.700,Rough
,11,iz-EXTERIOR FLOOR,25,3,7,1.000,0.0279,0.900,0.900,0.700,0.700,MediumSmooth


Material CTF Summary

,,Material Name,Thickness {ft},Conductivity {w/m-K},Density {lb/ft3},Specific Heat {Btu/lbm-R},ThermalResistance {m2-K/w}
,1,SYN_STUCCO,0.0098,0.086,24.971,0.210,0.3524E-01
,2,SHEATHING_CONSOL_LAYER,0.1020,0.035,1.255,0.350,0.8807
,3,OSB_7/16IN,0.0364,0.116,34.000,0.290,0.9555E-01
,4,WALL_CONSOL_LAYER,0.4584,0.057,7.541,0.248,2.444
,5,DRYWALL_1/2IN,0.0417,0.160,50.000,0.260,0.7933E-01
,6,LUMBER_2X4,0.2920,0.115,32.003,0.183,0.7709
,7,FLOOR_CONSOL_LAYER,0.9377,0.050,3.438,0.219,5.720
,8,PLYWOOD_3/4IN,0.0627,0.115,34.003,0.161,0.1650
,9,CARPET_N_PAD,0.0833,0.060,2.000,0.200,0.4224
,10,CEIL_CONSOL_LAYER,1.8587,0.062,2.618,0.185,9.179
,11,DRYWALL_1/2IN,0.0417,0.160,50.000,0.260,0.7933E-01
,12,DRYWALL_1/2IN,0.0417,0.160,50.000,0.260,0.7933E-01
,13,CEIL_CONSOL_LAYER,1.8587,0.062,2.618,0.185,9.179
,14,DRYWALL_1/2IN,0.0417,0.160,50.000,0.260,0.7933E-01
,15,OSB_5/8IN,0.0522,0.116,34.000,0.290,0.1365
,16,DRYWALL_1/2IN,0.0417,0.160,50.000,0.260,0.7933E-01
,17,ASPHALT_SHINGLE,0.0207,0.082,70.000,0.300,0.7745E-01
,18,OSB_1/2IN,0.0417,0.116,34.000,0.290,0.1092
,19,DOOR_CONST,0.1388,0.072,32.003,0.183,0.5870
,20,CEMENT_STUCCO,0.0627,0.721,116.464,0.210,0.2642E-01
,21,BLDG_PAPER_FELT,0.0000,0.000,0.000,0.000,0.1057E-01
,22,OSB_5/8IN,0.0522,0.116,34.000,0.290,0.1365
,23,DRYWALL_1/2IN,0.0417,0.160,50.000,0.260,0.7933E-01
,24,PLYWOOD_3/4IN,0.0627,0.115,34.003,0.161,0.1650
,25,BSMTWALL_CONSOL_LAYER,0.0010,10.844,7.541,0.248,0.2342E-04
,26,PLYWOOD_3/4IN,0.0627,0.115,34.003,0.161,0.1650
,27,CARPET_N_PAD,0.0833,0.060,2.000,0.200,0.4224
,28,PLYWOOD_3/4IN,0.0627,0.115,34.003,0.161,0.1650
,29,FLOOR_CONSOL_LAYER,0.9377,0.050,3.438,0.219,5.720


Material:Air

,,Material Name,ThermalResistance {m2-K/w}
,1,AIR_4_IN_VERT,0.1585
,2,3/4IN_AIR_SPACE,8.5130E-002
,3,3/4IN_REFLECTIVE_AIR_SPACE,0.2466
,4,AIR_4_IN_VERT,0.1585


CTF

,,Time,Outside,Cross,Inside,Flux (except final one)
,1,7,-0.48524825E-13,-0.15552876E-13,-0.27961453E-12,0.68050686E-15
,2,6,0.29877193E-08,0.27636409E-10,0.13406700E-07,-0.32204622E-12
,3,5,-0.12260680E-04,0.22120929E-06,-0.79904438E-04,0.81274456E-08
,4,4,0.41107533E-02,0.11969800E-03,0.31390265E-01,-0.33286183E-04
,5,3,-0.12218315,0.53280074E-02,-0.92858957,0.10965527E-01
,6,2,0.86679861,0.27098762E-01,4.9428042,-0.27525931
,7,1,-1.9773016,0.17266759E-01,-8.3316389,1.0860227
,8,0,1.2790325,0.63137015E-03,4.3365587,
,9,5,-0.73804348E-13,0.64669460E-13,-0.73804512E-13,0.84401040E-18
,10,4,0.14724727E-06,0.10734602E-06,0.14724727E-06,-0.23954360E-10
,11,3,-0.14954317E-02,0.85194176E-03,-0.14954317E-02,0.49296359E-05
,12,2,0.29188816,0.10780912,0.29188816,-0.73156416E-02
,13,1,-3.0620671,0.59170109,-3.0620671,0.33037973
,14,0,3.6498258,0.17778930,3.6498258,
,15,7,-0.74133138E-16,-0.93885370E-15,-0.88598207E-08,0.57143439E-16
,16,6,0.32470217E-06,0.29133869E-08,0.43359785E-05,-0.11756193E-06
,17,5,-0.12477476E-03,0.34637068E-05,-0.54866742E-03,0.50611528E-04
,18,4,0.90923950E-02,0.31648605E-03,0.24107485E-01,-0.44678387E-02
,19,3,-0.14720579,0.42871157E-02,-0.35446832,0.93461115E-01
,20,2,0.72535372,0.10585072E-01,1.6988153,-0.60139067
,21,1,-1.2899509,0.42924368E-02,-2.8630788,1.3886896
,22,0,0.72244062,0.12103389E-03,1.5147743,
,23,7,0.63668135E-16,0.10636696E-15,-0.13377360E-06,-0.11883814E-15
,24,6,0.22275600E-06,0.63673780E-09,0.26962289E-02,-0.24551217E-06
,25,5,-0.75419698E-03,0.14991766E-05,-0.89480320E-01,0.83164556E-03
,26,4,0.22555643E-01,0.12805723E-03,0.99114563,-0.26218135E-01
,27,3,-0.21139386,0.14189345E-02,-4.6892352,0.26663265
,28,2,0.76290229,0.29362460E-02,10.306598,-1.0805755
,29,1,-1.0965604,0.10534866E-02,-10.359374,1.7877856
,30,0,0.52881775,0.29234758E-04,3.8432176,
,31,7,-0.13377360E-06,0.10636696E-15,0.63668135E-16,-0.11883814E-15
,32,6,0.26962289E-02,0.63673780E-09,0.22275600E-06,-0.24551217E-06
,33,5,-0.89480320E-01,0.14991766E-05,-0.75419698E-03,0.83164556E-03
,34,4,0.99114563,0.12805723E-03,0.22555643E-01,-0.26218135E-01
,35,3,-4.6892352,0.14189345E-02,-0.21139386,0.26663265
,36,2,10.306598,0.29362460E-02,0.76290229,-1.0805755
,37,1,-10.359374,0.10534866E-02,-1.0965604,1.7877856
,38,0,3.8432176,0.29234758E-04,0.52881775,
,39,3,-0.74876206E-08,0.17902742E-08,-0.74876206E-08,0.19537352E-21
,40,2,0.15597607E-01,0.55423627E-02,0.15597607E-01,-0.10917027E-07
,41,1,-3.1929654,1.3042696,-3.1929654,0.11827749E-01
,42,0,6.5252683,2.0380885,6.5252683,
,43,2,0.94467954E-05,0.31317736E-05,0.79225250E-05,-0.26749844E-22
,44,1,-1.8383944,0.81257669,-1.3462729,0.15535189E-04
,45,0,7.1959782,4.5450135,6.7038583,
,46,3,-0.10160624E-06,0.73584215E-07,-0.10160624E-06,0.20723692E-14
,47,2,0.14353166E-01,0.84320589E-02,0.14353166E-01,-0.11383510E-05
,48,1,-1.4926951,0.74131348,-1.4926951,0.38067385E-01
,49,0,3.1170731,0.88898549,3.1170731,
,50,4,0.44987769E-14,0.98631654E-16,0.14264981E-14,0.0000000
,51,3,-0.13187245E-06,0.34886199E-07,-0.40679758E-07,0.32607943E-14
,52,2,0.41165881E-01,0.61555217E-02,0.16588552E-01,-0.45157314E-07
,53,1,-9.8165612,1.0256427,-2.7651724,0.81558044E-02
,54,0,12.186772,1.3795784,5.1599606,
,55,3,-0.37637195E-16,0.12795858E-16,-0.37637197E-16,0.0000000
,56,2,0.24148489E-03,0.85376732E-04,0.24148489E-03,-0.17379092E-15
,57,1,-1.2795407,0.66834237,-1.2795407,0.53794521E-03
,58,0,4.3078399,2.3601129,4.3078399,
,59,7,-0.88598207E-08,-0.93885370E-15,-0.74133138E-16,0.57143439E-16
,60,6,0.43359785E-05,0.29133869E-08,0.32470217E-06,-0.11756193E-06
,61,5,-0.54866742E-03,0.34637068E-05,-0.12477476E-03,0.50611528E-04
,62,4,0.24107485E-01,0.31648605E-03,0.90923950E-02,-0.44678387E-02
,63,3,-0.35446832,0.42871157E-02,-0.14720579,0.93461115E-01
,64,2,1.6988153,0.10585072E-01,0.72535372,-0.60139067
,65,1,-2.8630788,0.42924368E-02,-1.2899509,1.3886896
,66,0,1.5147743,0.12103389E-03,0.72244062,


WindowConstruction

,,Construction Name,Index,#Layers,Roughness,Conductance {Btu/h-ft2-F},SHGC,Solar Transmittance at Normal Incidence,Visible Transmittance at Normal Incidence
,1,EXTERIOR WINDOW,12,1,VerySmooth,0.300,0.335,0.248,0.883
,2,INTERIOR WINDOW,13,1,VerySmooth,0.300,0.335,0.248,0.883
,3,WINDOW_W_BLINDS,18,2,VerySmooth,0.300,0.309,4.646E-002,0.133
,4,TDD DOME,22,1,VerySmooth,1.071,0.929,0.920,0.920
,5,TDD DIFFUSER,23,1,VerySmooth,1.077,0.906,0.900,0.900


WindowMaterial:Glazing

,,Material Name,Optical Data Type,Spectral Data Set Name,Thickness {ft},Solar Transmittance,Front Solar Reflectance,Back Solar Reflectance,Visible Transmittance,Front Visible Reflectance,Back Visible Reflectance,Infrared Transmittance,Front Thermal Emissivity,Back Thermal Emissivity,Conductivity {W/m-K},Dirt Factor,Solar Diffusing
,1,GLASS,SpectralAverage,,0.13728,0.24698,0.55113,0.55113,0.88000,0.11900,0.11900,0.00000,0.84000,0.84000,0.10138,1.00000,No
,2,GLASS,SpectralAverage,,0.13728,0.24698,0.55113,0.55113,0.88000,0.11900,0.11900,0.00000,0.84000,0.84000,0.10138,1.00000,No
,3,GLASS,SpectralAverage,,0.13728,0.24698,0.55113,0.55113,0.88000,0.11900,0.11900,0.00000,0.84000,0.84000,0.10138,1.00000,No
,4,CLEAR ACRYLIC PLASTIC,SpectralAverage,,0.00984,0.92000,5.00000E-002,5.00000E-002,0.92000,5.00000E-002,5.00000E-002,0.00000,0.90000,0.90000,0.90000,1.00000,No
,5,DIFFUSING ACRYLIC PLASTIC,SpectralAverage,,0.00722,0.90000,8.00000E-002,8.00000E-002,0.90000,8.00000E-002,8.00000E-002,0.00000,0.90000,0.90000,0.90000,1.00000,No


WindowMaterial:Blind

,,Material Name,Slat Width {ft},Slat Separation {ft},Slat Thickness {ft},Slat Angle {deg},Slat Beam Solar Transmittance,Slat Beam Solar Front Reflectance,Blind To Glass Distance {ft}
,1,INT_BLIND,0.0820,0.0615,0.0033,45.000,0.000,0.500,0.164


Shadowing/Sun Position Calculations Annual Simulations

,,Shading Calculation Method,Shading Calculation Update Frequency Method,Shading Calculation Update Frequency {days},Maximum Figures in Shadow Overlap Calculations {},Polygon Clipping Algorithm,Pixel Counting Resolution,Sky Diffuse Modeling Algorithm,Output External Shading Calculation Results,Disable Self-Shading Within Shading Zone Groups,Disable Self-Shading From Shading Zone Groups to Other Zones
,1,PolygonClipping,Periodic,20,15000.,SutherlandHodgman,512,SimpleSkyDiffuseModeling,No,No,No


Water Heater Information

,,Type,Name,Volume {ft3},Maximum Capacity {Btu/h},Standard Rated Recovery Efficiency,Standard Rated Energy Factor
,1,WaterHeater:Mixed,WATER HEATER_UNIT1_FRONTROW_BOTTOMFLOOR,0.1337,36002.1,174.036,0.9191
,2,WaterHeater:Mixed,WATER HEATER_UNIT2_FRONTROW_BOTTOMFLOOR,0.1337,36002.1,174.036,0.9191
,3,WaterHeater:Mixed,WATER HEATER_UNIT3_FRONTROW_BOTTOMFLOOR,0.1337,36002.1,174.036,0.9191
,4,WaterHeater:Mixed,WATER HEATER_UNIT1_BACKROW_BOTTOMFLOOR,0.1337,36002.1,174.036,0.9191
,5,WaterHeater:Mixed,WATER HEATER_UNIT2_BACKROW_BOTTOMFLOOR,0.1337,36002.1,174.036,0.9191
,6,WaterHeater:Mixed,WATER HEATER_UNIT3_BACKROW_BOTTOMFLOOR,0.1337,36002.1,174.036,0.9191
,7,WaterHeater:Mixed,WATER HEATER_UNIT1_FRONTROW_MIDDLEFLOOR,0.1337,36002.1,174.036,0.9191
,8,WaterHeater:Mixed,WATER HEATER_UNIT2_FRONTROW_MIDDLEFLOOR,0.1337,36002.1,174.036,0.9191
,9,WaterHeater:Mixed,WATER HEATER_UNIT3_FRONTROW_MIDDLEFLOOR,0.1337,36002.1,174.036,0.9191
,10,WaterHeater:Mixed,WATER HEATER_UNIT1_BACKROW_MIDDLEFLOOR,0.1337,36002.1,174.036,0.9191
,11,WaterHeater:Mixed,WATER HEATER_UNIT2_BACKROW_MIDDLEFLOOR,0.1337,36002.1,174.036,0.9191
,12,WaterHeater:Mixed,WATER HEATER_UNIT3_BACKROW_MIDDLEFLOOR,0.1337,36002.1,174.036,0.9191
,13,WaterHeater:Mixed,WATER HEATER_UNIT1_FRONTROW_TOPFLOOR,0.1337,36002.1,174.036,0.9191
,14,WaterHeater:Mixed,WATER HEATER_UNIT2_FRONTROW_TOPFLOOR,0.1337,36002.1,174.036,0.9191
,15,WaterHeater:Mixed,WATER HEATER_UNIT3_FRONTROW_TOPFLOOR,0.1337,36002.1,174.036,0.9191
,16,WaterHeater:Mixed,WATER HEATER_UNIT1_BACKROW_TOPFLOOR,0.1337,36002.1,174.036,0.9191
,17,WaterHeater:Mixed,WATER HEATER_UNIT2_BACKROW_TOPFLOOR,0.1337,36002.1,174.036,0.9191
,18,WaterHeater:Mixed,WATER HEATER_UNIT3_BACKROW_TOPFLOOR,0.1337,36002.1,174.036,0.9191


ZoneInfiltration Airflow Stats Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {ft2},# Zone Occupants,Design Volume Flow Rate {ft3/min},Volume Flow Rate/Floor Area {ft3/min-ft2},Volume Flow Rate/Exterior Surface Area {ft3/min-ft2},ACH - Air Changes per Hour,Equation A - Constant Term Coefficient {},Equation B - Temperature Term Coefficient {1/C},Equation C - Velocity Term Coefficient {s/m},Equation D - Velocity Squared Term Coefficient {s2/m2}
,1,LIVING_SHERMANGRIMSRUD_UNIT1_FRONTROW_BOTTOMFLOOR,ALWAYS_AVAIL,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,2,LIVING_SHERMANGRIMSRUD_UNIT2_FRONTROW_BOTTOMFLOOR,ALWAYS_AVAIL,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,3,LIVING_SHERMANGRIMSRUD_UNIT3_FRONTROW_BOTTOMFLOOR,ALWAYS_AVAIL,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,4,LIVING_SHERMANGRIMSRUD_UNIT1_BACKROW_BOTTOMFLOOR,ALWAYS_AVAIL,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,5,LIVING_SHERMANGRIMSRUD_UNIT2_BACKROW_BOTTOMFLOOR,ALWAYS_AVAIL,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,6,LIVING_SHERMANGRIMSRUD_UNIT3_BACKROW_BOTTOMFLOOR,ALWAYS_AVAIL,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,7,LIVING_SHERMANGRIMSRUD_UNIT1_FRONTROW_MIDDLEFLOOR,ALWAYS_AVAIL,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,8,LIVING_SHERMANGRIMSRUD_UNIT2_FRONTROW_MIDDLEFLOOR,ALWAYS_AVAIL,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,9,LIVING_SHERMANGRIMSRUD_UNIT3_FRONTROW_MIDDLEFLOOR,ALWAYS_AVAIL,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,10,LIVING_SHERMANGRIMSRUD_UNIT1_BACKROW_MIDDLEFLOOR,ALWAYS_AVAIL,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,11,LIVING_SHERMANGRIMSRUD_UNIT2_BACKROW_MIDDLEFLOOR,ALWAYS_AVAIL,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,12,LIVING_SHERMANGRIMSRUD_UNIT3_BACKROW_MIDDLEFLOOR,ALWAYS_AVAIL,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,13,LIVING_SHERMANGRIMSRUD_UNIT1_FRONTROW_TOPFLOOR,ALWAYS_AVAIL,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,14,LIVING_SHERMANGRIMSRUD_UNIT2_FRONTROW_TOPFLOOR,ALWAYS_AVAIL,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,15,LIVING_SHERMANGRIMSRUD_UNIT3_FRONTROW_TOPFLOOR,ALWAYS_AVAIL,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,16,LIVING_SHERMANGRIMSRUD_UNIT1_BACKROW_TOPFLOOR,ALWAYS_AVAIL,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,17,LIVING_SHERMANGRIMSRUD_UNIT2_BACKROW_TOPFLOOR,ALWAYS_AVAIL,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,18,LIVING_SHERMANGRIMSRUD_UNIT3_BACKROW_TOPFLOOR,ALWAYS_AVAIL,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,19,ATTICVENT,ALWAYS_AVAIL,ATTIC,7802.66,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000


ZoneVentilation Airflow Stats Nominal

